outcode,latitude,longitude
SE2,51.48990296112305,0.1161806241900648
SE3,51.46905167984689,0.020206589285714286
SE4,51.4609995822511,-0.035170084415584404
SE5,51.473902121177886,-0.09146954699886743
SE6,51.438511981545695,-0.016491025374855823
SE7,51.48411609112154,0.03386966588785048
SE8,51.481999144827604,-0.029610415517241407
SE9,51.44510329991789,0.05491924815119153
SE10,51.48470859831126,0.00044876960193003377
SE11,51.48980579149797,-0.11149801012145737
SE12,51.44458120116059,0.019890839458413963
SE13,51.45963669063762,-0.009658348710990503
SE14,51.47594969121136,-0.042297166270783844
SE15,51.472807028571445,-0.06563729495798312
SE16,51.49656257885139,-0.05314906381039201
SE17,51.48831690670557,-0.09329021137026243
SE18,51.484443170124585,0.07240463900414928
SE19,51.41795182441475,-0.08611444314381272
SE20,51.41223949591834,-0.0594318571428572
SE21,51.43896788474573,-0.08872136271186434
SE22,51.454466829745606,-0.07241091193737768
SE23,51.44147153184715,-0.04910198407643302
SE24,51.45578600684936,-0.10033299657534256
SE25,51.397777440251566,-0.07671070440251565
SE26,51.42776911041007,-0.05452794952681387
SE27,51.43062101326259,-0.10240649867374003
SE28,51.50226265094348,0.10408566509433961
EN1,51.654284402062046,-0.06793098969072145
EN2,51.66002743097228,-0.09432092677070844
EN3,51.66020767462692,-0.036559291542288576
EN4,51.64938296276598,-0.16001800709219874
EN5,51.65005118336489,-0.19781938657844908
EN6,51.69957477611948,-0.17608439494833517
EN7,51.71225596274515,-0.06976719607843143
EN8,51.6994408562092,-0.033823139433551204
EN9,51.69626763396777,0.015342194729136154
EN10,51.738184641203716,-0.023051532407407413
EN11,51.765661546012346,-0.009312999999999988
EN77,,
HA0,51.5510663411216,-0.3052994158878503
HA1,51.58036529552536,-0.33863619667013495
HA2,51.573713863966844,-0.361458095534787
HA3,51.59379246956522,-0.3209480996047432
HA4,51.57029777240776,-0.41066592618629166
HA5,51.59503507509153,-0.38632262179487187
HA6,51.61195024617527,-0.42252933379693963
HA7,51.61129214436619,-0.3106685093896713
HA8,51.61137604836416,-0.27382999715504985
HA9,51.56063779740525,-0.28518986327345314
UB1,51.515354261437906,-0.37375263725490193
UB2,51.49966874576266,-0.3788778342749532
UB3,51.50515304984731,-0.424398382502543
UB4,51.525981258890454,-0.40852047510668543
UB5,51.54311304727282,-0.376520026666666
UB6,51.53919176273158,-0.340364141203704
UB7,51.50442035023779,-0.46915236133122
UB8,51.53526905082716,-0.4736866312056718
UB9,51.586404963048544,-0.49236374364896046
UB10,51.54931142837079,-0.45208390730337045
UB11,51.5116727368421,-0.446468
UB18,51.50072,-0.4026640000000003
WD3,51.64682479277869,-0.4823845996860279
WD4,51.706459841397844,-0.4569073091397852
